epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.87513,0.15723,4.26824,0.98406,0.06466,0.20312,0.04666,0.03188,0.17639,inf,0.9925,0.0919,0.0009,0.0009
2,8.99018,0.17847,2.55951,0.96442,0.04872,0.06101,0.03009,0.01875,nan,nan,nan,0.0828953,0.0018953,0.0018953
3,13.0748,0.17364,2.21451,0.95331,0.00029,0.00595,0.00026,0.00016,nan,nan,nan,0.0738856,0.00288564,0.00288564
4,17.081,0.16453,1.87784,0.96228,0,0,0,0,nan,nan,nan,0.064871,0.00387104,0.00387104
5,21.2122,0.17036,1.71919,0.9819,0,0,0,0,nan,nan,nan,0.0558515,0.00485149,0.00485149
6,25.2156,0.17298,1.71054,0.96595,0,0,0,0,nan,nan,nan,0.046827,0.00582699,0.00582699
7,29.2413,0.18406,1.58885,0.98632,0,0,0,0,nan,nan,nan,0.0377975,0.00679753,0.00679753
8,33.271,0.18061,1.70037,0.99291,0,0,0,0,nan,nan,nan,0.0287631,0.00776313,0.00776313
9,37.4419,0.17454,1.66238,0.97125,0,0,0,0,nan,nan,nan,0.0197238,0.00872378,0.00872378
10,41.5015,0.19971,1.61,1.01424,0,0,0,0,nan,nan,nan,0.0106795,0.00967948,0.00967948
11,45.565,0.20506,1.56549,1.01007,0,0,0,0,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,49.5902,0.17521,1.4204,0.96539,1e-05,0.00119,0,0,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,53.6323,0.16895,1.29312,0.95196,0,0,0,0,0.7071,inf,11.1463,0.009703,0.009703,0.009703
14,57.6016,0.15328,1.21775,0.94016,0,0,0,0,0.67507,inf,12.927,0.00967825,0.00967825,0.00967825
15,61.5607,0.16304,1.18776,0.95477,0,0,0,0,0.66308,inf,14.9642,0.0096535,0.0096535,0.0096535
16,65.5422,0.15752,1.135,0.93382,0,0,0,0,0.65998,inf,11.4534,0.00962875,0.00962875,0.00962875
17,69.5238,0.15352,1.0502,0.91623,1e-05,0.00119,0,0,0.61242,inf,5.73529,0.009604,0.009604,0.009604
18,73.1349,0.15297,1.01524,0.92051,0,0,0,0,0.50112,inf,2.58898,0.00957925,0.00957925,0.00957925
19,76.7892,0.14994,0.97811,0.91567,0.13168,0.10789,0.11877,0.06757,0.29123,10.0761,1.56883,0.0095545,0.0095545,0.0095545
20,79.5561,0.16014,0.97772,0.93116,0.46856,0.53884,0.52438,0.35093,0.20492,2.83151,1.09318,0.00952975,0.00952975,0.00952975
