epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26793,1.48749,5.40278,1.05087,0,0,0,0,1.34935,5.33694,0.92656,0.09604,4e-05,4e-05
2,2.10588,1.2305,5.09704,0.93115,0,0,0,0,1.3297,5.08061,0.95289,0.0910898,8.97773e-05,8.97773e-05
3,2.93602,1.11764,4.52899,0.87967,7e-05,0.00714,0.00026,7e-05,1.45983,4.76439,0.9297,0.0861393,0.000139307,0.000139307
4,3.739,1.00146,3.99983,0.85534,5e-05,0.00476,8e-05,2e-05,1.51793,4.5385,0.91595,0.0811886,0.000188589,0.000188589
5,4.60675,1.10424,3.70718,0.85977,0.00176,0.00625,0.00106,0.00049,1.60775,4.34346,0.92473,0.0762376,0.000237624,0.000237624
6,5.91204,1.1011,3.41954,0.85555,0.00321,0.01815,0.00258,0.00129,1.41882,4.18512,0.90497,0.0712864,0.000286411,0.000286411
7,6.81862,1.03506,3.22104,0.84841,0.01488,0.0558,0.017,0.01243,1.31915,3.92697,0.89254,0.066335,0.000334951,0.000334951
8,7.81486,1.01568,3.02242,0.84821,0.01778,0.07545,0.03131,0.02032,1.39425,3.78922,0.90465,0.0613832,0.000383243,0.000383243
9,8.92723,1.03417,2.93268,0.84526,0.04262,0.10923,0.06297,0.0402,1.34215,3.63487,0.8965,0.0564313,0.000431288,0.000431288
10,10.1313,1.03903,2.7893,0.84804,0.03078,0.15937,0.08291,0.05828,1.24095,3.37961,0.88028,0.0514791,0.000479085,0.000479085
11,11.5994,0.99921,2.65092,0.84654,0.0543,0.1933,0.11735,0.08395,1.22695,3.18638,0.86745,0.0465266,0.000526635,0.000526635
12,13.1658,0.95982,2.60194,0.84297,0.23279,0.10892,0.139,0.10412,1.11103,3.04213,0.8587,0.0415739,0.000573937,0.000573937
13,14.6064,0.93357,2.52449,0.83626,0.28554,0.09928,0.1457,0.11158,1.05068,2.97647,0.85635,0.036621,0.000620992,0.000620992
14,16.0922,0.93766,2.4377,0.8401,0.19198,0.21081,0.17281,0.13403,1.07796,2.82205,0.85095,0.0316678,0.000667799,0.000667799
15,17.5182,0.85725,2.34724,0.83425,0.26273,0.16415,0.2013,0.15475,1.06275,2.68174,0.84088,0.0267144,0.000714359,0.000714359
16,18.9378,0.87684,2.2718,0.83087,0.27313,0.16815,0.20728,0.16191,0.99675,2.60773,0.83563,0.0217607,0.000760671,0.000760671
17,20.3027,0.88964,2.2017,0.83197,0.43666,0.20113,0.25817,0.20146,0.95748,2.40247,0.82939,0.0168067,0.000806736,0.000806736
18,21.6457,0.84448,2.1416,0.82754,0.47001,0.21399,0.2718,0.21626,0.88651,2.28605,0.81883,0.0118526,0.000852553,0.000852553
19,22.9531,0.829,2.10396,0.82907,0.49155,0.23203,0.28404,0.22789,0.84288,2.17986,0.81393,0.00689812,0.000898123,0.000898123
20,24.2479,0.81935,2.04127,0.82728,0.64134,0.24387,0.31576,0.25225,0.86252,2.00985,0.8156,0.00194345,0.000943445,0.000943445
21,25.4743,0.80624,1.9321,0.82461,0.59167,0.26277,0.3381,0.28,0.7599,1.95479,0.81064,0.0009505,0.0009505,0.0009505
22,26.9694,0.77566,1.93242,0.82233,0.56245,0.2884,0.35959,0.30157,0.72914,1.87267,0.80776,0.000948025,0.000948025,0.000948025
23,28.2216,0.80663,1.89608,0.82572,0.50552,0.3136,0.37144,0.30852,0.7467,1.76896,0.80718,0.00094555,0.00094555,0.00094555
24,29.5242,0.7702,1.85159,0.82492,0.51693,0.36171,0.38254,0.31423,0.7937,1.62582,0.81216,0.000943075,0.000943075,0.000943075
25,30.8,0.73445,1.7659,0.8174,0.53818,0.37403,0.38743,0.32245,0.74089,1.57524,0.81135,0.0009406,0.0009406,0.0009406
26,32.0729,0.79714,1.77087,0.82131,0.52736,0.37989,0.39235,0.33019,0.70193,1.52832,0.80698,0.000938125,0.000938125,0.000938125
27,33.3526,0.77714,1.70827,0.81759,0.50915,0.39256,0.39863,0.3283,0.74636,1.50151,0.80782,0.00093565,0.00093565,0.00093565
