epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38.861,0.92174,0.89597,0.8176,0.59492,0.80114,0.75276,0.43832,1.55822,1.58054,0.86993,0.00898525,0.00898525,0.00898525
43,39.6083,0.90345,0.86699,0.81501,0.5858,0.69921,0.69776,0.27254,2.27899,2.02086,0.97832,0.0089605,0.0089605,0.0089605
44,40.3816,1.05231,0.92821,0.82304,0.68183,0.81091,0.81829,0.57014,1.14067,1.16103,0.83542,0.00893575,0.00893575,0.00893575
45,41.1296,0.87833,0.83896,0.81475,0.7171,0.86534,0.85329,0.62891,1.04616,0.94286,0.82116,0.008911,0.008911,0.008911
46,41.9237,0.87247,0.81645,0.82155,0.75062,0.85663,0.85599,0.53019,1.48429,0.93494,0.85442,0.00888625,0.00888625,0.00888625
47,42.6675,0.93155,0.83975,0.81516,0.75421,0.87099,0.86166,0.5779,1.29859,0.86405,0.83865,0.0088615,0.0088615,0.0088615
48,43.4682,0.92934,0.85057,0.82306,0.6958,0.83171,0.84156,0.6277,0.94236,0.94513,0.81083,0.00883675,0.00883675,0.00883675
49,44.2165,0.79571,0.77959,0.81176,0.73997,0.85183,0.86654,0.67566,0.88849,0.8206,0.80953,0.008812,0.008812,0.008812
50,44.9614,0.7961,0.76079,0.80785,0.75014,0.82127,0.84089,0.65135,0.89203,0.89416,0.81352,0.00878725,0.00878725,0.00878725
51,45.6975,0.83882,0.77644,0.81157,0.7304,0.77495,0.80508,0.61431,0.89769,0.97094,0.81623,0.0087625,0.0087625,0.0087625
52,46.4563,0.77492,0.72966,0.81084,0.71765,0.82938,0.8333,0.6484,0.91687,0.93177,0.81478,0.00873775,0.00873775,0.00873775
53,47.1861,0.77443,0.738,0.8044,0.75068,0.81683,0.84564,0.66694,0.86296,0.89853,0.81389,0.008713,0.008713,0.008713
54,47.9349,0.79951,0.70301,0.81053,0.76764,0.79182,0.83955,0.64921,0.85955,0.89649,0.81355,0.00868825,0.00868825,0.00868825
55,48.6682,0.76389,0.70796,0.8054,0.80037,0.81687,0.86874,0.68565,0.82432,0.87065,0.80973,0.0086635,0.0086635,0.0086635
56,49.4499,0.82443,0.70145,0.80834,0.75064,0.84632,0.86268,0.67665,0.88459,0.92747,0.8106,0.00863875,0.00863875,0.00863875
57,50.1852,0.77534,0.70161,0.80712,0.75421,0.78375,0.85015,0.6401,0.89689,1.06117,0.81678,0.008614,0.008614,0.008614
58,50.9128,0.76923,0.68625,0.80746,0.7342,0.78463,0.82857,0.62476,0.89726,1.08257,0.81923,0.00858925,0.00858925,0.00858925
59,51.6489,0.77539,0.70601,0.80268,0.69035,0.75656,0.7746,0.54188,1.07523,1.17609,0.82951,0.0085645,0.0085645,0.0085645
60,52.4043,0.69987,0.6273,0.80419,0.67928,0.73994,0.7995,0.57513,1.02595,1.17196,0.82813,0.00853975,0.00853975,0.00853975
61,53.125,0.69663,0.64527,0.80159,0.72245,0.78656,0.85377,0.65451,0.87583,1.04375,0.81676,0.008515,0.008515,0.008515
62,53.9119,0.71268,0.63638,0.7949,0.75083,0.81206,0.86129,0.63576,0.94502,0.96677,0.81574,0.00849025,0.00849025,0.00849025
63,54.6462,0.69818,0.65018,0.80057,0.82095,0.85824,0.89749,0.73241,0.74523,0.77631,0.80303,0.0084655,0.0084655,0.0084655
64,55.4427,0.73341,0.62404,0.79857,0.86736,0.91962,0.95004,0.77481,0.7402,0.64071,0.8029,0.00844075,0.00844075,0.00844075
65,56.1956,0.74786,0.64768,0.80791,0.87128,0.89855,0.94425,0.803,0.63555,0.61519,0.79499,0.008416,0.008416,0.008416
66,56.9497,0.71691,0.63825,0.79981,0.86306,0.89245,0.94253,0.49024,1.86399,0.91224,0.88369,0.00839125,0.00839125,0.00839125
67,57.6843,1.00886,0.73375,0.80899,0.75459,0.83935,0.86872,0.65954,1.00622,0.82647,0.8104,0.0083665,0.0083665,0.0083665
68,58.4596,0.85156,0.6713,0.8085,0.82794,0.85194,0.91895,0.67578,0.94371,0.76897,0.81509,0.00834175,0.00834175,0.00834175
69,59.186,0.79392,0.64059,0.80241,0.89865,0.93709,0.97466,0.76136,0.86991,0.60387,0.79829,0.008317,0.008317,0.008317
70,59.934,0.77919,0.66407,0.79625,0.78924,0.87444,0.92049,0.54907,1.51649,0.92278,0.84412,0.00829225,0.00829225,0.00829225
71,60.6884,0.71963,0.61475,0.79972,0.72176,0.78456,0.81834,0.54353,1.27201,1.09677,0.82725,0.0082675,0.0082675,0.0082675
72,61.4564,0.66627,0.60175,0.79356,0.84354,0.89035,0.93502,0.67116,1.13634,0.7689,0.81791,0.00824275,0.00824275,0.00824275
73,62.1808,0.67249,0.59607,0.79789,0.85469,0.86468,0.93527,0.73748,0.85748,0.73704,0.79634,0.008218,0.008218,0.008218
74,62.9245,0.69013,0.59723,0.79939,0.84385,0.88494,0.93143,0.67954,1.05863,0.78801,0.80633,0.00819325,0.00819325,0.00819325
75,63.6519,0.8559,0.62753,0.80627,0.9142,0.90864,0.96246,0.47461,1.95485,0.94744,0.89449,0.0081685,0.0081685,0.0081685
76,64.4236,0.96136,0.67265,0.80603,0.88703,0.91511,0.96089,0.65433,1.25879,0.74554,0.82834,0.00814375,0.00814375,0.00814375
77,65.1563,0.82292,0.62369,0.80583,0.87323,0.91388,0.96127,0.71044,1.04443,0.69486,0.80716,0.008119,0.008119,0.008119
78,65.9328,0.8349,0.62792,0.80234,0.91121,0.93136,0.96446,0.62858,1.36546,0.71598,0.82633,0.00809425,0.00809425,0.00809425
79,66.6624,0.84242,0.6298,0.7992,0.89909,0.94176,0.96496,0.55319,1.68338,0.78323,0.85394,0.0080695,0.0080695,0.0080695
80,67.4505,0.841,0.64216,0.80128,0.92783,0.93749,0.97642,0.80574,0.75838,0.54278,0.79402,0.00804475,0.00804475,0.00804475
81,68.2172,0.73334,0.57225,0.79491,0.91248,0.91018,0.9691,0.80076,0.71082,0.60833,0.79348,0.00802,0.00802,0.00802
82,68.9564,0.8935,0.60951,0.80987,0.879,0.91604,0.96317,0.74402,0.92657,0.69714,0.80476,0.00799525,0.00799525,0.00799525
83,69.7179,0.83687,0.60992,0.80262,0.91949,0.93752,0.97741,0.75114,0.93688,0.61915,0.80624,0.0079705,0.0079705,0.0079705
84,70.4835,0.8245,0.61529,0.80263,0.84776,0.87492,0.93056,0.69615,0.96408,0.74178,0.81614,0.00794575,0.00794575,0.00794575
85,71.2168,0.79491,0.59432,0.80013,0.86302,0.84428,0.91592,0.72707,0.80323,0.7515,0.80616,0.007921,0.007921,0.007921
86,71.9843,0.72865,0.56875,0.79704,0.95135,0.95919,0.98291,0.63808,1.40279,0.68284,0.83743,0.00789625,0.00789625,0.00789625
87,72.7128,0.74535,0.57308,0.80392,0.9169,0.91705,0.96777,0.53281,1.75037,0.84604,0.88272,0.0078715,0.0078715,0.0078715
88,73.4469,0.73803,0.56285,0.7979,0.9507,0.95745,0.98701,0.78245,0.88051,0.55993,0.80015,0.00784675,0.00784675,0.00784675
89,74.1761,0.66099,0.54561,0.80001,0.90269,0.90273,0.96552,0.80903,0.69846,0.68785,0.79846,0.007822,0.007822,0.007822
90,74.9214,0.67539,0.54814,0.79438,0.86055,0.87147,0.93778,0.76894,0.73385,0.77795,0.80512,0.00779725,0.00779725,0.00779725
91,75.6425,0.68188,0.55016,0.79407,0.86851,0.89594,0.94605,0.79405,0.67223,0.68527,0.80002,0.0077725,0.0077725,0.0077725
92,76.4068,0.7828,0.58449,0.79795,0.84227,0.85623,0.91468,0.75589,0.76864,0.80029,0.80305,0.00774775,0.00774775,0.00774775
93,77.1368,0.66084,0.5593,0.79357,0.86765,0.88377,0.93821,0.77948,0.6861,0.71107,0.80158,0.007723,0.007723,0.007723
94,77.8588,0.70843,0.55757,0.79647,0.91711,0.93845,0.97339,0.81336,0.69998,0.5819,0.79704,0.00769825,0.00769825,0.00769825
95,78.5834,0.69541,0.56553,0.79566,0.9475,0.96725,0.98721,0.7208,1.08719,0.61595,0.81206,0.0076735,0.0076735,0.0076735
96,79.3398,0.65806,0.52668,0.79836,0.91817,0.92386,0.96249,0.82496,0.61188,0.55195,0.79,0.00764875,0.00764875,0.00764875
97,80.0841,0.68412,0.53628,0.7951,0.87831,0.91926,0.9568,0.81812,0.63387,0.59645,0.78925,0.007624,0.007624,0.007624
98,80.8235,0.66034,0.5291,0.79392,0.87721,0.90079,0.95998,0.78669,0.77348,0.68627,0.79287,0.00759925,0.00759925,0.00759925
99,81.5689,0.622,0.51108,0.79336,0.86272,0.8612,0.93905,0.82009,0.57655,0.70612,0.79073,0.0075745,0.0075745,0.0075745
100,82.3559,0.68097,0.54181,0.78965,0.83046,0.85548,0.92869,0.77385,0.64089,0.67258,0.80067,0.00754975,0.00754975,0.00754975
101,83.0759,0.58054,0.4976,0.79116,0.91496,0.92748,0.97987,0.83222,0.61547,0.5369,0.79514,0.007525,0.007525,0.007525
102,83.8169,0.58688,0.50412,0.78856,0.92098,0.93663,0.97797,0.8457,0.57547,0.52147,0.79119,0.00750025,0.00750025,0.00750025
103,84.5527,0.59563,0.499,0.79222,0.93898,0.96174,0.98551,0.85648,0.59082,0.49903,0.78894,0.0074755,0.0074755,0.0074755
104,85.3094,0.61549,0.50923,0.79349,0.96152,0.96871,0.99087,0.85502,0.58183,0.45391,0.79155,0.00745075,0.00745075,0.00745075
105,86.0368,0.6265,0.49706,0.79813,0.93271,0.93542,0.97857,0.82793,0.6273,0.52162,0.79491,0.007426,0.007426,0.007426
106,86.7668,0.6395,0.49835,0.78931,0.89859,0.89463,0.95885,0.81066,0.69298,0.61678,0.79449,0.00740125,0.00740125,0.00740125
107,87.4874,0.76338,0.56528,0.7948,0.88692,0.85616,0.93366,0.78718,0.67452,0.67611,0.79518,0.0073765,0.0073765,0.0073765
108,88.2463,0.74363,0.53318,0.79651,0.91734,0.91554,0.96573,0.65702,1.06244,0.65507,0.81487,0.00735175,0.00735175,0.00735175
109,88.9772,0.85614,0.57721,0.80599,0.94247,0.95469,0.98404,0.78647,0.72629,0.51872,0.79838,0.007327,0.007327,0.007327
110,89.706,0.77544,0.55794,0.80221,0.96394,0.96979,0.99014,0.72774,1.03347,0.57072,0.80496,0.00730225,0.00730225,0.00730225
111,90.4434,0.7657,0.58159,0.79532,0.86735,0.89492,0.9523,0.55458,1.56624,0.87114,0.84606,0.0072775,0.0072775,0.0072775
112,91.1999,0.70126,0.55537,0.79321,0.82634,0.88021,0.93332,0.77322,0.71002,0.68717,0.79086,0.00725275,0.00725275,0.00725275
113,91.9271,0.69652,0.55384,0.7893,0.95803,0.96509,0.98918,0.81339,0.80184,0.53846,0.79634,0.007228,0.007228,0.007228
114,92.662,0.68322,0.54851,0.79218,0.95827,0.9607,0.98882,0.7473,1.01447,0.62478,0.80714,0.00720325,0.00720325,0.00720325
115,93.3944,0.64555,0.51387,0.79031,0.95313,0.97418,0.99102,0.70222,1.15683,0.6745,0.81734,0.0071785,0.0071785,0.0071785
116,94.1568,0.67812,0.52054,0.79329,0.91926,0.9104,0.97464,0.69109,1.14793,0.6685,0.8131,0.00715375,0.00715375,0.00715375
117,94.8809,0.68054,0.50613,0.79449,0.92979,0.95473,0.98711,0.82526,0.72061,0.52066,0.79228,0.007129,0.007129,0.007129
118,95.6037,0.65025,0.49505,0.79474,0.95095,0.95163,0.98255,0.83634,0.66543,0.5179,0.79434,0.00710425,0.00710425,0.00710425
119,96.3407,0.66482,0.50901,0.79459,0.8439,0.87513,0.92653,0.75767,0.72781,0.7187,0.80542,0.0070795,0.0070795,0.0070795
120,97.0888,0.63849,0.50285,0.78786,0.88597,0.9193,0.96301,0.76973,0.76005,0.5937,0.80733,0.00705475,0.00705475,0.00705475
121,97.8116,0.62147,0.48492,0.78818,0.89073,0.91713,0.96439,0.79951,0.67222,0.58129,0.80284,0.00703,0.00703,0.00703
122,98.5507,0.56033,0.47829,0.7885,0.92236,0.93518,0.97948,0.84312,0.62771,0.52161,0.79271,0.00700525,0.00700525,0.00700525
123,99.2829,0.63973,0.50194,0.78709,0.9419,0.94674,0.98595,0.83157,0.67411,0.51581,0.7869,0.0069805,0.0069805,0.0069805
124,100.02,0.56594,0.47361,0.79085,0.94125,0.96088,0.98878,0.76814,0.92028,0.57988,0.8024,0.00695575,0.00695575,0.00695575
125,100.74,0.60148,0.48641,0.78936,0.94255,0.9648,0.9891,0.72027,1.10017,0.62248,0.81256,0.006931,0.006931,0.006931
126,101.468,0.71077,0.51598,0.79849,0.95495,0.96286,0.9915,0.86302,0.59464,0.47772,0.78974,0.00690625,0.00690625,0.00690625
127,102.193,0.57683,0.46769,0.79046,0.95633,0.95776,0.98817,0.85621,0.59336,0.47581,0.79156,0.0068815,0.0068815,0.0068815
128,102.941,0.65624,0.50376,0.79204,0.95822,0.98008,0.99171,0.86419,0.60243,0.45515,0.791,0.00685675,0.00685675,0.00685675
129,103.679,0.72018,0.53154,0.79541,0.94194,0.94541,0.98825,0.81452,0.6887,0.50041,0.79562,0.006832,0.006832,0.006832
130,104.404,0.71974,0.50119,0.79472,0.94964,0.92375,0.98231,0.83136,0.62896,0.50807,0.79399,0.00680725,0.00680725,0.00680725
131,105.138,0.65951,0.49441,0.79728,0.95221,0.95182,0.98672,0.79804,0.76552,0.50126,0.79314,0.0067825,0.0067825,0.0067825
132,105.874,0.68758,0.5056,0.79028,0.91336,0.93369,0.97047,0.79483,0.73042,0.53807,0.79151,0.00675775,0.00675775,0.00675775
133,106.597,0.5973,0.47132,0.79302,0.94409,0.93253,0.97948,0.84028,0.6067,0.49368,0.78977,0.006733,0.006733,0.006733
134,107.337,0.62222,0.46807,0.78377,0.93778,0.94028,0.97863,0.84717,0.57888,0.46531,0.79164,0.00670825,0.00670825,0.00670825
135,108.059,0.60916,0.46369,0.78697,0.90735,0.9232,0.97268,0.78832,0.71051,0.549,0.80068,0.0066835,0.0066835,0.0066835
136,108.817,0.62439,0.47782,0.79308,0.92043,0.93928,0.97641,0.83677,0.61385,0.51436,0.79748,0.00665875,0.00665875,0.00665875
137,109.538,0.62255,0.48874,0.79328,0.93638,0.93105,0.9782,0.85602,0.55136,0.48259,0.79262,0.006634,0.006634,0.006634
138,110.266,0.61646,0.47454,0.78806,0.93953,0.95539,0.9855,0.84827,0.60778,0.47189,0.78916,0.00660925,0.00660925,0.00660925
139,111.008,0.57917,0.45769,0.7879,0.96695,0.96878,0.98939,0.79886,0.76916,0.49312,0.79171,0.0065845,0.0065845,0.0065845
140,111.743,0.59985,0.46921,0.79153,0.94532,0.95905,0.98509,0.8417,0.65265,0.4917,0.78965,0.00655975,0.00655975,0.00655975
141,112.451,0.57418,0.45878,0.7827,0.9507,0.96054,0.98433,0.85931,0.57976,0.48915,0.78882,0.006535,0.006535,0.006535
142,113.188,0.60653,0.46055,0.78822,0.9306,0.95403,0.98558,0.86759,0.57618,0.50497,0.78887,0.00651025,0.00651025,0.00651025
143,113.928,0.59316,0.44552,0.79014,0.94674,0.95453,0.98686,0.82865,0.73595,0.51063,0.7914,0.0064855,0.0064855,0.0064855
144,114.737,0.61077,0.47651,0.79053,0.95245,0.95736,0.98472,0.86827,0.53898,0.47124,0.79029,0.00646075,0.00646075,0.00646075
145,115.485,0.62816,0.4621,0.79418,0.95584,0.95474,0.98352,0.85971,0.60858,0.47751,0.78769,0.006436,0.006436,0.006436
146,116.23,0.53436,0.43647,0.78529,0.95249,0.94903,0.98021,0.8019,0.80218,0.52492,0.79423,0.00641125,0.00641125,0.00641125
147,116.959,0.56855,0.43917,0.78706,0.93714,0.94379,0.97796,0.86975,0.52264,0.49089,0.78691,0.0063865,0.0063865,0.0063865
148,117.712,0.64422,0.47171,0.79206,0.95741,0.97055,0.99235,0.84296,0.63887,0.44354,0.78941,0.00636175,0.00636175,0.00636175
149,118.417,0.55638,0.4355,0.79001,0.98363,0.98014,0.99375,0.79043,0.85318,0.45609,0.7941,0.006337,0.006337,0.006337
150,119.134,0.579,0.43933,0.78792,0.98521,0.97815,0.99379,0.84336,0.67812,0.41813,0.78822,0.00631225,0.00631225,0.00631225
151,119.85,0.57101,0.44354,0.7859,0.98525,0.97923,0.99379,0.86614,0.59445,0.40242,0.78647,0.0062875,0.0062875,0.0062875
152,120.605,0.52158,0.41232,0.78576,0.95359,0.95591,0.98486,0.85922,0.5938,0.45209,0.78799,0.00626275,0.00626275,0.00626275
153,121.322,0.61992,0.45466,0.78788,0.97231,0.97302,0.99186,0.62513,1.42507,0.63736,0.83022,0.006238,0.006238,0.006238
154,122.053,0.78781,0.4942,0.79497,0.97384,0.96874,0.99083,0.57491,1.59577,0.70856,0.84746,0.00621325,0.00621325,0.00621325
155,122.773,0.65007,0.47001,0.79115,0.97881,0.97621,0.9933,0.76486,0.95395,0.51135,0.80139,0.0061885,0.0061885,0.0061885
156,123.53,0.67019,0.4614,0.79223,0.9249,0.93792,0.98606,0.78608,0.74002,0.55417,0.79879,0.00616375,0.00616375,0.00616375
157,124.261,0.81525,0.51397,0.80442,0.91378,0.88875,0.96717,0.81095,0.64048,0.60727,0.79358,0.006139,0.006139,0.006139
158,124.999,0.72705,0.5117,0.79228,0.85384,0.86599,0.92831,0.78259,0.67977,0.66021,0.7925,0.00611425,0.00611425,0.00611425
159,125.73,0.6803,0.49813,0.79063,0.88073,0.88937,0.95225,0.79427,0.7315,0.62311,0.79459,0.0060895,0.0060895,0.0060895
160,126.485,0.6049,0.45437,0.786,0.94527,0.96348,0.98775,0.82803,0.64299,0.47351,0.79761,0.00606475,0.00606475,0.00606475
161,127.226,0.66366,0.45645,0.7978,0.94042,0.9354,0.98321,0.83021,0.61518,0.48122,0.797,0.00604,0.00604,0.00604
162,127.954,0.64038,0.46379,0.78896,0.92379,0.94604,0.98281,0.82999,0.6848,0.49208,0.79487,0.00601525,0.00601525,0.00601525
163,128.686,0.61286,0.45058,0.79007,0.95134,0.96062,0.98566,0.83269,0.72422,0.46719,0.79313,0.0059905,0.0059905,0.0059905
164,129.433,0.58955,0.44401,0.78849,0.92472,0.93129,0.97121,0.85025,0.54446,0.50232,0.7889,0.00596575,0.00596575,0.00596575
165,130.168,0.58063,0.44068,0.78565,0.96713,0.96872,0.99021,0.86406,0.54661,0.42265,0.78852,0.005941,0.005941,0.005941
166,130.907,0.63905,0.46459,0.78875,0.97716,0.98076,0.99298,0.86006,0.60673,0.4138,0.78792,0.00591625,0.00591625,0.00591625
167,131.632,0.54636,0.43444,0.77955,0.9443,0.97564,0.98902,0.85155,0.62649,0.45762,0.78886,0.0058915,0.0058915,0.0058915
168,132.389,0.57147,0.43535,0.78349,0.97039,0.95759,0.99161,0.87027,0.57688,0.42368,0.78812,0.00586675,0.00586675,0.00586675
169,133.124,0.56299,0.4354,0.79191,0.96007,0.96904,0.99176,0.8228,0.73588,0.47587,0.79369,0.005842,0.005842,0.005842
170,133.874,0.51947,0.41924,0.78438,0.96337,0.9632,0.98867,0.85404,0.60324,0.44512,0.78762,0.00581725,0.00581725,0.00581725
171,134.608,0.54851,0.42456,0.77986,0.97277,0.96522,0.99098,0.88159,0.5229,0.40954,0.78658,0.0057925,0.0057925,0.0057925
172,135.376,0.61465,0.4375,0.78924,0.97982,0.97977,0.99244,0.84134,0.65437,0.43867,0.79478,0.00576775,0.00576775,0.00576775
173,136.11,0.64181,0.48141,0.79111,0.98079,0.98546,0.99372,0.88272,0.54428,0.39737,0.78849,0.005743,0.005743,0.005743
174,136.869,0.56244,0.44645,0.78781,0.96377,0.96334,0.99095,0.8786,0.53847,0.41668,0.78883,0.00571825,0.00571825,0.00571825
175,137.613,0.52143,0.43189,0.78422,0.91366,0.92892,0.9719,0.86372,0.53364,0.49752,0.7876,0.0056935,0.0056935,0.0056935
176,138.38,0.5794,0.45106,0.78703,0.97107,0.96831,0.99201,0.87278,0.52768,0.39522,0.7855,0.00566875,0.00566875,0.00566875
177,139.103,0.51779,0.4286,0.78757,0.9529,0.96966,0.98833,0.86488,0.55479,0.43421,0.78577,0.005644,0.005644,0.005644
178,139.847,0.56478,0.41855,0.78644,0.95992,0.96924,0.98914,0.85474,0.59557,0.43491,0.78824,0.00561925,0.00561925,0.00561925
179,140.58,0.4968,0.40047,0.78319,0.97947,0.98736,0.99327,0.88043,0.51434,0.38184,0.7873,0.0055945,0.0055945,0.0055945
180,141.349,0.58055,0.43708,0.78536,0.97217,0.97739,0.9927,0.86695,0.56405,0.41956,0.78431,0.00556975,0.00556975,0.00556975
181,142.135,0.58635,0.43477,0.78903,0.96639,0.96914,0.99119,0.78397,0.84458,0.50306,0.79328,0.005545,0.005545,0.005545
182,142.887,0.55506,0.43344,0.78719,0.97043,0.97923,0.99223,0.79628,0.82906,0.46913,0.7944,0.00552025,0.00552025,0.00552025
183,143.627,0.58021,0.43442,0.78639,0.96077,0.96583,0.98905,0.84365,0.67036,0.4567,0.79182,0.0054955,0.0054955,0.0054955
184,144.379,0.62423,0.46109,0.78466,0.86959,0.93325,0.95996,0.7709,0.72255,0.55394,0.80188,0.00547075,0.00547075,0.00547075
185,145.103,0.66049,0.47838,0.78545,0.91557,0.95288,0.97801,0.83587,0.59856,0.48288,0.79465,0.005446,0.005446,0.005446
186,145.831,0.55951,0.43516,0.78529,0.9798,0.9792,0.99256,0.79719,0.85785,0.46234,0.79416,0.00542125,0.00542125,0.00542125
