epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.15523,1.48749,5.40278,1.05087,0,0,0,0,2.27807,5.33136,1.04553,0.0964,0.0004,0.0004
2,1.94329,1.59746,4.8317,0.95489,0.01306,0.01012,0.01329,0.00622,1.53038,5.01647,0.95423,0.0918978,0.000897773,0.000897773
3,2.83196,1.31515,3.86236,0.8903,0.02586,0.07723,0.02349,0.01476,1.54077,4.07441,0.97372,0.0873931,0.00139307,0.00139307
4,3.73876,1.16308,2.84753,0.87797,0.02392,0.09821,0.03104,0.01789,1.67431,3.58077,1.01365,0.0828859,0.00188589,0.00188589
5,4.88595,1.25063,2.43805,0.88275,0.03361,0.18289,0.06051,0.03931,1.52819,3.1319,0.99135,0.0783762,0.00237624,0.00237624
6,6.03953,1.10362,2.18527,0.87409,0.05481,0.2433,0.10527,0.0705,1.50463,2.96014,0.95871,0.0738641,0.00286411,0.00286411
7,7.37256,1.0376,1.99066,0.86888,0.10048,0.24777,0.1424,0.09005,1.52538,2.87072,0.94265,0.0693495,0.00334951,0.00334951
8,9.04579,1.08562,1.85785,0.87384,0.09294,0.24405,0.13256,0.07961,1.46368,3.14404,0.95267,0.0648324,0.00383243,0.00383243
9,10.5791,1.10338,1.8246,0.87773,0.09539,0.25804,0.1419,0.08369,1.46496,3.12446,0.96846,0.0603129,0.00431288,0.00431288
10,11.9361,1.02717,1.69413,0.86112,0.20221,0.24643,0.20303,0.13603,1.3181,3.4873,0.92784,0.0557909,0.00479085,0.00479085
11,13.173,1.00022,1.56996,0.86468,0.21942,0.32845,0.23854,0.15818,1.40232,3.06524,0.95209,0.0512663,0.00526635,0.00526635
12,15.0586,0.96691,1.52574,0.85983,0.1677,0.22545,0.17658,0.11694,1.60303,6.15672,1.01481,0.0467394,0.00573937,0.00573937
13,16.8237,0.93362,1.44338,0.85363,0.2328,0.29061,0.25641,0.16979,1.37148,5.10581,0.97152,0.0422099,0.00620992,0.00620992
14,18.3373,0.98856,1.42614,0.85842,0.56871,0.35674,0.36602,0.22262,1.4275,4.01527,0.95551,0.037678,0.00667799,0.00667799
15,19.4504,0.91067,1.33605,0.8591,0.54585,0.43129,0.44019,0.30969,1.10203,2.70652,0.87512,0.0331436,0.00714359,0.00714359
16,20.5946,0.91001,1.2845,0.8495,0.49,0.45672,0.45897,0.31703,1.13287,2.50746,0.87913,0.0286067,0.00760671,0.00760671
17,21.7951,0.9107,1.23367,0.8452,0.49625,0.4456,0.47276,0.33049,1.09048,2.08935,0.87654,0.0240674,0.00806736,0.00806736
18,22.9496,0.91123,1.18895,0.84757,0.4107,0.54278,0.46632,0.3237,1.09504,1.88863,0.88311,0.0195255,0.00852553,0.00852553
19,24.0563,0.98414,1.17162,0.85525,0.46266,0.59102,0.52182,0.31314,1.30965,1.72057,0.8933,0.0149812,0.00898123,0.00898123
20,25.038,0.96808,1.14014,0.85168,0.5223,0.5697,0.56384,0.41957,0.91423,1.32293,0.84385,0.0104345,0.00943445,0.00943445
21,26.0482,0.88026,1.07261,0.84109,0.51667,0.53545,0.58098,0.39732,1.04465,1.6742,0.85955,0.009505,0.009505,0.009505
22,26.9096,0.81964,1.04688,0.84,0.49054,0.52998,0.49404,0.27935,1.49141,1.50349,0.95291,0.00948025,0.00948025,0.00948025
23,27.8115,0.86017,1.05,0.83929,0.44861,0.52494,0.4837,0.27405,1.54238,1.35537,0.98459,0.0094555,0.0094555,0.0094555
24,28.7347,0.82013,1.045,0.83853,0.5004,0.66115,0.61545,0.37698,1.22544,1.4318,0.88295,0.00943075,0.00943075,0.00943075
25,29.6491,0.77666,0.94124,0.83382,0.51989,0.51705,0.53946,0.30877,1.44794,1.55335,0.92373,0.009406,0.009406,0.009406
26,30.5319,0.86391,0.99007,0.83617,0.56493,0.56103,0.57988,0.34493,1.34182,1.5802,0.91695,0.00938125,0.00938125,0.00938125
27,31.3534,0.87551,0.97679,0.8336,0.39953,0.37572,0.35769,0.17726,1.96309,2.37821,1.11733,0.0093565,0.0093565,0.0093565
28,32.6342,0.78225,0.95428,0.83542,0.48263,0.68323,0.62773,0.42169,1.04888,1.34211,0.85863,0.00933175,0.00933175,0.00933175
29,33.5524,0.77059,0.91439,0.83129,0.47622,0.65143,0.61238,0.39054,1.2102,1.48681,0.88806,0.009307,0.009307,0.009307
30,34.3947,0.80422,0.91883,0.82898,0.53281,0.63896,0.6435,0.38823,1.3138,1.44349,0.91226,0.00928225,0.00928225,0.00928225
31,35.4196,0.8264,0.911,0.82922,0.58127,0.61776,0.60373,0.40888,1.03563,1.29748,0.84804,0.0092575,0.0092575,0.0092575
32,36.4336,0.81987,0.91183,0.83545,0.53361,0.55912,0.54631,0.35387,1.18572,1.55325,0.87061,0.00923275,0.00923275,0.00923275
33,37.2613,0.79075,0.84937,0.83089,0.53469,0.57395,0.56928,0.40733,0.91679,1.44178,0.846,0.009208,0.009208,0.009208
34,38.162,0.7691,0.85713,0.82777,0.48327,0.6272,0.61052,0.46272,0.87495,1.1902,0.83039,0.00918325,0.00918325,0.00918325
35,39.1544,0.76084,0.83035,0.82449,0.50399,0.62201,0.64223,0.3996,1.2674,1.09025,0.87727,0.0091585,0.0091585,0.0091585
36,40.0496,0.72981,0.81285,0.82906,0.53808,0.58247,0.63497,0.3386,1.55725,1.07677,0.93159,0.00913375,0.00913375,0.00913375
37,40.9315,0.72963,0.80056,0.82051,0.51911,0.62071,0.63591,0.42937,1.13119,0.98278,0.86281,0.009109,0.009109,0.009109
38,41.7481,0.76653,0.79095,0.8218,0.6255,0.60935,0.64814,0.41171,1.27908,0.99719,0.88735,0.00908425,0.00908425,0.00908425
39,42.5719,0.73413,0.7892,0.82362,0.68488,0.60494,0.67948,0.49979,0.89037,0.93677,0.8269,0.0090595,0.0090595,0.0090595
40,43.4739,0.75808,0.78005,0.82497,0.66187,0.66981,0.73106,0.53847,0.85288,0.75741,0.82168,0.00903475,0.00903475,0.00903475
41,44.2709,0.73105,0.74306,0.81905,0.6576,0.76503,0.76639,0.55259,0.8906,0.73208,0.81956,0.00901,0.00901,0.00901
42,45.076,0.7144,0.75858,0.82047,0.66508,0.78389,0.77447,0.56267,0.91607,0.73929,0.82101,0.00898525,0.00898525,0.00898525
43,46.2261,0.78896,0.76069,0.82201,0.65621,0.75292,0.76443,0.57497,0.77706,0.72094,0.80427,0.0089605,0.0089605,0.0089605
44,47.1321,0.77218,0.76235,0.82151,0.79305,0.68952,0.75105,0.38877,1.535,0.89452,0.93799,0.00893575,0.00893575,0.00893575
45,47.9263,0.77205,0.73622,0.82004,0.71972,0.71478,0.77306,0.55737,0.86299,0.68375,0.82226,0.008911,0.008911,0.008911
46,48.7334,0.72466,0.72339,0.82082,0.72194,0.70018,0.75299,0.58484,0.7226,0.66728,0.80334,0.00888625,0.00888625,0.00888625
47,49.4839,0.77165,0.72379,0.82583,0.69409,0.73047,0.76647,0.58164,0.77402,0.66638,0.81145,0.0088615,0.0088615,0.0088615
48,50.2897,0.68457,0.71509,0.81838,0.70996,0.77156,0.78796,0.63962,0.67241,0.63577,0.80397,0.00883675,0.00883675,0.00883675
49,51.0712,0.68126,0.68,0.8203,0.70272,0.74998,0.78115,0.60551,0.77686,0.6807,0.81454,0.008812,0.008812,0.008812
