epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.79136,1.47179,5.39602,1.04168,0,0,0,0,2.28722,5.34821,1.07088,0.0964,0.0004,0.0004
2,2.53591,1.6471,4.82363,0.96673,0.01383,0.02054,0.01664,0.00703,1.44278,4.97703,0.89929,0.0918978,0.000897773,0.000897773
3,3.32764,1.32394,3.82454,0.89022,0.04063,0.09955,0.03219,0.01812,1.71031,4.0588,0.99261,0.0873931,0.00139307,0.00139307
4,4.06052,1.15407,2.7885,0.87774,0.03475,0.17946,0.05541,0.03018,1.60373,3.53362,0.93753,0.0828859,0.00188589,0.00188589
5,4.82507,1.17656,2.35011,0.87849,0.04154,0.21949,0.08727,0.05251,1.55448,3.25258,0.93684,0.0783762,0.00237624,0.00237624
6,5.60026,1.0655,2.07313,0.87486,0.06025,0.29673,0.12866,0.08364,1.3034,2.90506,0.90613,0.0738641,0.00286411,0.00286411
7,6.73729,0.97636,1.87568,0.86792,0.19392,0.38393,0.23302,0.13221,1.57604,2.57653,0.95294,0.0693495,0.00334951,0.00334951
8,7.65924,0.99555,1.73881,0.86684,0.1688,0.34911,0.21028,0.13088,1.32606,2.64807,0.93661,0.0648324,0.00383243,0.00383243
9,9.82626,1.02316,1.70621,0.86976,0.17143,0.21979,0.16553,0.09012,1.66549,3.72301,0.97253,0.0603129,0.00431288,0.00431288
10,11.7205,1.09518,1.61809,0.87529,0.22298,0.23524,0.21793,0.13648,1.3711,3.7721,0.93855,0.0557909,0.00479085,0.00479085
11,13.0548,1.02516,1.49856,0.8717,0.18499,0.36726,0.26526,0.17971,1.25081,2.70739,0.92915,0.0512663,0.00526635,0.00526635
12,14.4498,1.05683,1.45357,0.87087,0.32901,0.42047,0.33176,0.21913,1.31212,2.44129,0.92838,0.0467394,0.00573937,0.00573937
13,15.2927,1.00264,1.37545,0.86599,0.47691,0.35733,0.33485,0.21414,1.33437,2.2247,0.93808,0.0422099,0.00620992,0.00620992
14,16.1572,1.02137,1.32567,0.86539,0.24252,0.48333,0.3392,0.23648,1.21497,2.47253,0.89969,0.037678,0.00667799,0.00667799
15,16.9415,0.95524,1.24963,0.87135,0.45525,0.46098,0.44028,0.2759,1.36593,2.28674,0.94422,0.0331436,0.00714359,0.00714359
16,17.7344,0.96624,1.20225,0.86089,0.57269,0.45267,0.44402,0.2974,1.2657,2.03062,0.92409,0.0286067,0.00760671,0.00760671
17,18.6321,0.90925,1.14428,0.84896,0.30172,0.14808,0.21126,0.13478,1.91451,7.01429,1.03348,0.0240674,0.00806736,0.00806736
18,19.5198,0.84234,1.09885,0.84801,0.21384,0.0314,0.11831,0.05793,2.67523,15.492,1.18243,0.0195255,0.00852553,0.00852553
19,20.2982,0.99879,1.10879,0.85883,0.42905,0.51822,0.48701,0.28882,1.4235,1.46636,0.92971,0.0149812,0.00898123,0.00898123
20,21.0835,1.00641,1.06203,0.85992,0.45324,0.40434,0.38679,0.2319,1.59624,1.83067,0.957,0.0104345,0.00943445,0.00943445
21,21.8109,1.01831,1.04663,0.85548,0.51613,0.35631,0.359,0.22956,1.56808,1.9194,0.95961,0.009505,0.009505,0.009505
22,22.5425,0.98155,1.05239,0.8581,0.317,0.36369,0.35019,0.24719,1.24536,2.12753,0.91038,0.00948025,0.00948025,0.00948025
23,23.3329,1.0472,1.04032,0.85937,0.21658,0.18914,0.21853,0.155,1.49965,2.75106,0.98446,0.0094555,0.0094555,0.0094555
24,24.1098,0.96149,1.03447,0.85812,0.45295,0.57082,0.54234,0.34249,1.32805,1.69611,0.94135,0.00943075,0.00943075,0.00943075
25,24.8539,0.86089,0.92206,0.84602,0.39456,0.50778,0.4733,0.19143,2.33724,2.45536,1.25513,0.009406,0.009406,0.009406
26,25.619,0.94937,0.95186,0.84965,0.45868,0.49632,0.50306,0.28276,1.65509,2.22294,1.03269,0.00938125,0.00938125,0.00938125
27,26.3776,0.84754,0.91104,0.83851,0.43785,0.47352,0.4821,0.28852,1.50818,2.26429,0.97667,0.0093565,0.0093565,0.0093565
28,27.1228,0.8639,0.91061,0.85029,0.48958,0.5375,0.52928,0.25657,1.89018,1.48864,1.08329,0.00933175,0.00933175,0.00933175
29,27.9089,0.84277,0.86403,0.84113,0.39713,0.57389,0.55407,0.38708,1.0129,1.3727,0.86749,0.009307,0.009307,0.009307
30,28.671,0.90096,0.89845,0.83844,0.49488,0.54284,0.55975,0.3946,0.96027,1.45452,0.85631,0.00928225,0.00928225,0.00928225
31,29.4049,0.87566,0.86228,0.83501,0.47514,0.59133,0.61355,0.43147,0.97315,1.17113,0.85636,0.0092575,0.0092575,0.0092575
32,30.1676,0.80302,0.84629,0.83698,0.59553,0.6502,0.64207,0.42337,1.14742,1.16778,0.88677,0.00923275,0.00923275,0.00923275
33,30.9071,0.77909,0.79711,0.83486,0.47146,0.48737,0.46213,0.24032,1.90435,1.77253,1.08714,0.009208,0.009208,0.009208
34,31.6285,0.78119,0.78882,0.8356,0.46566,0.54219,0.51957,0.23547,2.0971,1.69408,1.11998,0.00918325,0.00918325,0.00918325
35,32.3711,0.80667,0.78636,0.8297,0.52961,0.66327,0.6437,0.36611,1.52578,1.40211,0.94561,0.0091585,0.0091585,0.0091585
36,33.1101,0.72691,0.76724,0.82915,0.52098,0.67157,0.66873,0.44693,1.11046,1.12313,0.87058,0.00913375,0.00913375,0.00913375
37,33.862,0.7753,0.76699,0.82748,0.53954,0.72065,0.71015,0.52787,0.83158,0.91229,0.82858,0.009109,0.009109,0.009109
38,34.6095,0.72139,0.72139,0.82296,0.593,0.73385,0.74153,0.55182,0.8178,0.85004,0.82376,0.00908425,0.00908425,0.00908425
39,35.3623,0.70245,0.7111,0.82479,0.51998,0.71053,0.71597,0.55882,0.77356,0.96827,0.82319,0.0090595,0.0090595,0.0090595
40,36.1369,0.7704,0.72124,0.82371,0.53907,0.70717,0.73468,0.53504,0.9091,0.92273,0.83134,0.00903475,0.00903475,0.00903475
41,36.8788,0.79632,0.73629,0.82976,0.60329,0.71441,0.75342,0.57728,0.78164,0.84705,0.81954,0.00901,0.00901,0.00901
42,37.6446,0.74152,0.72656,0.82706,0.55593,0.66526,0.70451,0.5428,0.78013,0.84399,0.81715,0.00898525,0.00898525,0.00898525
43,38.3828,0.72755,0.73152,0.82458,0.57427,0.63883,0.68096,0.48637,1.01134,0.98781,0.8447,0.0089605,0.0089605,0.0089605
44,39.1374,0.71968,0.69489,0.82184,0.67816,0.77044,0.77863,0.57585,0.79452,0.70783,0.81741,0.00893575,0.00893575,0.00893575
45,39.8857,0.76742,0.69993,0.82372,0.66474,0.73701,0.78753,0.6268,0.67403,0.74134,0.80558,0.008911,0.008911,0.008911
46,40.6392,0.66559,0.66303,0.82192,0.61358,0.74319,0.7964,0.60559,0.70505,0.68689,0.80869,0.00888625,0.00888625,0.00888625
47,41.3567,0.762,0.68921,0.82862,0.67401,0.79257,0.8176,0.56123,0.96457,0.7271,0.83179,0.0088615,0.0088615,0.0088615
48,42.1308,0.7054,0.67634,0.82086,0.62182,0.76069,0.73026,0.56279,0.75944,0.74635,0.81284,0.00883675,0.00883675,0.00883675
49,42.8547,0.71058,0.64792,0.8254,0.65774,0.7719,0.75513,0.5312,0.91508,0.77413,0.83039,0.008812,0.008812,0.008812
50,43.5823,0.70969,0.67223,0.82691,0.70779,0.79011,0.80017,0.59001,0.83799,0.724,0.82525,0.00878725,0.00878725,0.00878725
51,44.3125,0.68892,0.65407,0.82223,0.74443,0.81256,0.83175,0.63593,0.69608,0.6588,0.808,0.0087625,0.0087625,0.0087625
52,45.0412,0.68195,0.63628,0.81763,0.74119,0.79726,0.83166,0.66772,0.64849,0.63463,0.8093,0.00873775,0.00873775,0.00873775
53,45.7795,0.69656,0.66924,0.82046,0.72607,0.77461,0.80328,0.63808,0.67394,0.65029,0.80948,0.008713,0.008713,0.008713
54,46.4902,0.62096,0.60988,0.8183,0.78755,0.7741,0.82272,0.67644,0.59771,0.60316,0.80194,0.00868825,0.00868825,0.00868825
55,47.2372,0.62385,0.59554,0.81735,0.70261,0.75324,0.80022,0.63614,0.66004,0.6542,0.80424,0.0086635,0.0086635,0.0086635
56,47.9836,0.64825,0.6026,0.81298,0.65085,0.59219,0.67149,0.55032,0.66465,0.87894,0.81385,0.00863875,0.00863875,0.00863875
57,48.7091,0.62418,0.60358,0.82137,0.66959,0.75784,0.79284,0.64733,0.60073,0.63158,0.80202,0.008614,0.008614,0.008614
58,49.4377,0.67506,0.61364,0.81803,0.69352,0.75086,0.80448,0.58106,0.74218,0.68306,0.81021,0.00858925,0.00858925,0.00858925
59,50.1678,0.72939,0.66439,0.81741,0.6635,0.67597,0.76619,0.54966,0.81277,0.80025,0.8162,0.0085645,0.0085645,0.0085645
60,50.9011,0.68252,0.61829,0.81688,0.74546,0.64093,0.76328,0.61375,0.64166,0.75701,0.8012,0.00853975,0.00853975,0.00853975
61,51.6238,0.64026,0.59462,0.8106,0.72925,0.65836,0.76637,0.59365,0.68904,0.77177,0.80807,0.008515,0.008515,0.008515
62,52.3361,0.67965,0.59471,0.81633,0.73529,0.71399,0.78456,0.63039,0.64331,0.68487,0.80592,0.00849025,0.00849025,0.00849025
63,53.0778,0.62648,0.56859,0.8153,0.76728,0.81507,0.8374,0.57524,1.0473,0.66159,0.8433,0.0084655,0.0084655,0.0084655
64,53.8214,0.63142,0.56426,0.81414,0.76985,0.82477,0.83833,0.65943,0.66837,0.59211,0.79705,0.00844075,0.00844075,0.00844075
65,54.5388,0.66191,0.57051,0.81845,0.76154,0.80716,0.82863,0.57133,0.96805,0.69523,0.82868,0.008416,0.008416,0.008416
66,55.2631,0.65017,0.56734,0.81274,0.80042,0.8084,0.84763,0.64528,0.74195,0.67078,0.80457,0.00839125,0.00839125,0.00839125
67,55.98,0.68509,0.56636,0.80983,0.81878,0.82105,0.84933,0.65419,0.69172,0.61686,0.80271,0.0083665,0.0083665,0.0083665
68,56.7122,0.64993,0.56349,0.80925,0.84729,0.78233,0.85015,0.6182,0.81019,0.58198,0.81382,0.00834175,0.00834175,0.00834175
69,57.4291,0.66518,0.56057,0.81249,0.76795,0.77674,0.82065,0.63666,0.69956,0.59693,0.80574,0.008317,0.008317,0.008317
70,58.1528,0.6751,0.56104,0.81133,0.67182,0.72973,0.74439,0.60151,0.61434,0.69387,0.79538,0.00829225,0.00829225,0.00829225
71,58.9512,0.68911,0.56747,0.81297,0.68783,0.74292,0.75742,0.5603,0.91586,0.73723,0.83294,0.0082675,0.0082675,0.0082675
72,59.7439,0.56472,0.51176,0.80551,0.78162,0.81364,0.83288,0.47849,1.35786,0.69187,0.88738,0.00824275,0.00824275,0.00824275
73,60.5291,0.62239,0.53293,0.80789,0.79947,0.86942,0.86571,0.70765,0.5503,0.4615,0.78752,0.008218,0.008218,0.008218
